county,yearG3,sex,raceCode,CAUSE,Ndeaths,Level,pop,rateSE,aRate,LCI,UCI,aSE,bestRate,bestSE,lowRace,rateRatio,Ztest,pValue,pMark
Alameda,2016-2018,Total,Black-NH,D04,40,lev2,565647,1.11811,5.84304,4.13031,8.16103,0.950652,3.04506,0.568973,Hisp,1.9,2.5254527706451286,0.005777465589489217,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D05,476,lev2,565647,3.85707,75.003,68.3192,82.259,3.48926,37.199,1.59167,Asian-NH,2,9.85725054384344,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D06,89,lev2,565647,1.66782,13.9294,11.1188,17.3398,1.51513,8.98443,0.7934,Asian-NH,1.6,2.891299748156816,0.001918260026450458,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D09,92,lev2,565647,1.6957,13.705,10.985900000000001,17.0098,1.46435,6.17106,0.647989,Asian-NH,2.2,4.704844844963242,1.2702954675924971e-6,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D10,196,lev2,565647,2.47504,29.5964,25.4981,34.2713,2.16882,10.632,0.66565,White-NH,2.8,8.35925363325042,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D11,115,lev2,565647,1.89585,16.2061,13.2931,19.6903,1.56006,4.47959,0.553078,Asian-NH,3.6,7.084654279790481,6.969980148596733e-13,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D66,220,lev2,565647,2.6222,31.7434,27.578,36.4726,2.1998,8.74819,0.785375,Asian-NH,3.6,9.844707763290426,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D67,21,lev2,565647,0.810147,3.35226,2.05565,5.29179,0.74431,1.10537,0.228047,White-NH,3,2.8863200902060715,0.001948877600651877,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D68,96,lev2,565647,1.73217,15.0187,12.0799,18.5589,1.58133,12.6537,0.940931,Asian-NH,1.2,1.2852585694421401,0.09935097138396043,No Difference
Alameda,2016-2018,Total,Black-NH,D99,98,lev2,565647,1.75012,15.0294,12.1385,18.5114,1.55402,7.6277,0.710965,Asian-NH,2,4.331184021531438,7.415483218253804e-6,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,E01,270,lev2,565647,2.90493,42.2819,37.256,47.8917,2.64516,13.2607,0.974805,Asian-NH,3.2,10.294626253976512,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,E02,44,lev2,565647,1.17268,7.57157,5.47644,10.3015,1.15654,5.74375,0.639478,Asian-NH,1.3,1.3830791388093857,0.08332030071522789,No Difference
Alameda,2016-2018,Total,Black-NH,E03,156,lev2,565647,2.20809,27.8672,23.6262,32.7275,2.25309,1.7778,0.346626,White-NH,15.7,11.444740390150635,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,Z01,22,lev2,565647,0.829212,3.85886,2.379,6.01087,0.848436,1.28335,0.246319,White-NH,3,2.9152254168216807,0.0017771585955733693,Sig. Higher (p<.01)
